"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Wine","nb","basic",1,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.998319327731092
"2","Wine","nb","SMOTE",1,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.998319327731092
"3","Wine","nb","Phantom",1,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.998319327731092
"4","Wine","nb","basic",2,0.9375,0.882352941176471,0.942307692307692,0.909090909090909,0.866894197952218,0.989915966386555
"5","Wine","nb","SMOTE",2,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.996638655462185
"6","Wine","nb","Phantom",2,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.998319327731092
"7","Wine","nb","basic",3,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,0.984873949579832
"8","Wine","nb","SMOTE",3,1,1,1,1,1,1
"9","Wine","nb","Phantom",3,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"10","Wine","nb","basic",4,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"11","Wine","nb","SMOTE",4,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"12","Wine","nb","Phantom",4,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"13","Wine","nb","basic",5,0.888888888888889,0.941176470588235,0.942307692307692,0.914285714285714,0.870860927152318,0.99327731092437
"14","Wine","nb","SMOTE",5,0.888888888888889,0.941176470588235,0.942307692307692,0.914285714285714,0.870860927152318,0.99327731092437
"15","Wine","nb","Phantom",5,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"16","Wine","nb","basic",6,1,0.882352941176471,0.961538461538462,0.9375,0.909878682842288,0.991596638655462
"17","Wine","nb","SMOTE",6,1,0.882352941176471,0.961538461538462,0.9375,0.909878682842288,0.994957983193277
"18","Wine","nb","Phantom",6,1,1,1,1,1,1
"19","Wine","nb","basic",7,0.941176470588235,0.941176470588235,0.961538461538462,0.941176470588235,0.912605042016807,0.971428571428571
"20","Wine","nb","SMOTE",7,0.9375,0.882352941176471,0.942307692307692,0.909090909090909,0.866894197952218,0.996638655462185
"21","Wine","nb","Phantom",7,0.941176470588235,0.941176470588235,0.961538461538462,0.941176470588235,0.912605042016807,0.988235294117647
"22","Wine","nb","basic",8,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"23","Wine","nb","SMOTE",8,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"24","Wine","nb","Phantom",8,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"25","Wine","nb","basic",9,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,1
"26","Wine","nb","SMOTE",9,1,1,1,1,1,1
"27","Wine","nb","Phantom",9,1,1,1,1,1,1
"28","Wine","nb","basic",10,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,0.991596638655462
"29","Wine","nb","SMOTE",10,1,0.882352941176471,0.961538461538462,0.9375,0.909878682842288,0.974789915966387
"30","Wine","nb","Phantom",10,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,0.99327731092437
"31","Wine","nb","basic",11,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,0.996638655462185
"32","Wine","nb","SMOTE",11,1,0.882352941176471,0.961538461538462,0.9375,0.909878682842288,0.996638655462185
"33","Wine","nb","Phantom",11,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,1
"34","Wine","nb","basic",12,1,1,1,1,1,1
"35","Wine","nb","SMOTE",12,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,1
"36","Wine","nb","Phantom",12,0.894736842105263,1,0.961538461538462,0.944444444444444,0.915171288743883,0.996638655462185
"37","Wine","nb","basic",13,0.941176470588235,0.941176470588235,0.961538461538462,0.941176470588235,0.912605042016807,0.988235294117647
"38","Wine","nb","SMOTE",13,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.998319327731092
"39","Wine","nb","Phantom",13,0.941176470588235,0.941176470588235,0.961538461538462,0.941176470588235,0.912605042016807,0.989915966386555
"40","Wine","nb","basic",14,1,1,1,1,1,1
"41","Wine","nb","SMOTE",14,1,1,1,1,1,1
"42","Wine","nb","Phantom",14,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"43","Wine","nb","basic",15,1,1,1,1,1,1
"44","Wine","nb","SMOTE",15,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,1
"45","Wine","nb","Phantom",15,1,0.941176470588235,0.980769230769231,0.96969696969697,0.955631399317406,1
"46","Wine","nb","basic",16,1,1,1,1,1,1
"47","Wine","nb","SMOTE",16,1,1,1,1,1,1
"48","Wine","nb","Phantom",16,1,1,1,1,1,1
"49","Wine","nb","basic",17,1,0.882352941176471,0.961538461538462,0.9375,0.909878682842288,0.989915966386555
